"id","name","type","slug","name_with_type","path","path_with_type","code","parent_code","isDeleted"
"60eaaa6f1173335842c35405","Quảng Yên","thi-xa","quang-yen","Thị xã Quảng Yên","Quảng Yên, Quảng Ninh","Thị xã Quảng Yên, Tỉnh Quảng Ninh","206","22","False"
"60eaaa6f1173335842c35406","Cô Tô","huyen","co-to","Huyện Cô Tô","Cô Tô, Quảng Ninh","Huyện Cô Tô, Tỉnh Quảng Ninh","207","22","False"
"60eaaa6f1173335842c35407","Bắc Giang","thanh-pho","bac-giang","Thành phố Bắc Giang","Bắc Giang, Bắc Giang","Thành phố Bắc Giang, Tỉnh Bắc Giang","213","24","False"
"60eaaa6f1173335842c35408","Yên Thế","huyen","yen-the","Huyện Yên Thế","Yên Thế, Bắc Giang","Huyện Yên Thế, Tỉnh Bắc Giang","215","24","False"
"60eaaa6f1173335842c35409","Tân Yên","huyen","tan-yen","Huyện Tân Yên","Tân Yên, Bắc Giang","Huyện Tân Yên, Tỉnh Bắc Giang","216","24","False"
"60eaaa6f1173335842c3540a","Lạng Giang","huyen","lang-giang","Huyện Lạng Giang","Lạng Giang, Bắc Giang","Huyện Lạng Giang, Tỉnh Bắc Giang","217","24","False"
"60eaaa6f1173335842c3540b","Lục Nam","huyen","luc-nam","Huyện Lục Nam","Lục Nam, Bắc Giang","Huyện Lục Nam, Tỉnh Bắc Giang","218","24","False"
"60eaaa6f1173335842c3540c","Lục Ngạn","huyen","luc-ngan","Huyện Lục Ngạn","Lục Ngạn, Bắc Giang","Huyện Lục Ngạn, Tỉnh Bắc Giang","219","24","False"
"60eaaa6f1173335842c3540d","Sơn Động","huyen","son-dong","Huyện Sơn Động","Sơn Động, Bắc Giang","Huyện Sơn Động, Tỉnh Bắc Giang","220","24","False"
"60eaaa6f1173335842c3540e","Yên Dũng","huyen","yen-dung","Huyện Yên Dũng","Yên Dũng, Bắc Giang","Huyện Yên Dũng, Tỉnh Bắc Giang","221","24","False"
"60eaaa6f1173335842c3540f","Việt Yên","huyen","viet-yen","Huyện Việt Yên","Việt Yên, Bắc Giang","Huyện Việt Yên, Tỉnh Bắc Giang","222","24","False"
"60eaaa6f1173335842c35410","Hiệp Hòa","huyen","hiep-hoa","Huyện Hiệp Hòa","Hiệp Hòa, Bắc Giang","Huyện Hiệp Hòa, Tỉnh Bắc Giang","223","24","False"
"60eaaa6f1173335842c35411","Việt Trì","thanh-pho","viet-tri","Thành phố Việt Trì","Việt Trì, Phú Thọ","Thành phố Việt Trì, Tỉnh Phú Thọ","227","25","False"
"60eaaa6f1173335842c35412","Phú Thọ","thi-xa","phu-tho","Thị xã Phú Thọ","Phú Thọ, Phú Thọ","Thị xã Phú Thọ, Tỉnh Phú Thọ","228","25","False"
"60eaaa6f1173335842c35413","Đoan Hùng","huyen","doan-hung","Huyện Đoan Hùng","Đoan Hùng, Phú Thọ","Huyện Đoan Hùng, Tỉnh Phú Thọ","230","25","False"
"60eaaa6f1173335842c35414","Hạ Hoà","huyen","ha-hoa","Huyện Hạ Hoà","Hạ Hoà, Phú Thọ","Huyện Hạ Hoà, Tỉnh Phú Thọ","231","25","False"
"60eaaa6f1173335842c35415","Thanh Ba","huyen","thanh-ba","Huyện Thanh Ba","Thanh Ba, Phú Thọ","Huyện Thanh Ba, Tỉnh Phú Thọ","232","25","False"
"60eaaa6f1173335842c35416","Phù Ninh","huyen","phu-ninh","Huyện Phù Ninh","Phù Ninh, Phú Thọ","Huyện Phù Ninh, Tỉnh Phú Thọ","233","25","False"
"60eaaa6f1173335842c35417","Yên Lập","huyen","yen-lap","Huyện Yên Lập","Yên Lập, Phú Thọ","Huyện Yên Lập, Tỉnh Phú Thọ","234","25","False"
"60eaaa6f1173335842c35418","Cẩm Khê","huyen","cam-khe","Huyện Cẩm Khê","Cẩm Khê, Phú Thọ","Huyện Cẩm Khê, Tỉnh Phú Thọ","235","25","False"
"60eaaa6f1173335842c35419","Tam Nông","huyen","tam-nong","Huyện Tam Nông","Tam Nông, Phú Thọ","Huyện Tam Nông, Tỉnh Phú Thọ","236","25","False"
"60eaaa6f1173335842c3541a","Lâm Thao","huyen","lam-thao","Huyện Lâm Thao","Lâm Thao, Phú Thọ","Huyện Lâm Thao, Tỉnh Phú Thọ","237","25","False"
"60eaaa6f1173335842c3541b","Thanh Sơn","huyen","thanh-son","Huyện Thanh Sơn","Thanh Sơn, Phú Thọ","Huyện Thanh Sơn, Tỉnh Phú Thọ","238","25","False"
