"id","name","type","slug","name_with_type","path","path_with_type","code","parent_code","isDeleted"
"60eaaa721173335842c360cd","Tịnh Châu","xa","tinh-chau","Xã Tịnh Châu","Tịnh Châu, Quảng Ngãi, Quảng Ngãi","Xã Tịnh Châu, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi","21208","522","False"
"60eaaa721173335842c36100","Tịnh Đông","xa","tinh-dong","Xã Tịnh Đông","Tịnh Đông, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Đông, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21196","527","False"
"60eaaa721173335842c36104","Tịnh Giang","xa","tinh-giang","Xã Tịnh Giang","Tịnh Giang, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Giang, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21226","527","False"
"60eaaa721173335842c36103","Tịnh Hà","xa","tinh-ha","Xã Tịnh Hà","Tịnh Hà, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Hà, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21220","527","False"
"60eaaa701173335842c35b49","Tĩnh Hải","phuong","tinh-hai","Phường Tĩnh Hải","Tĩnh Hải, Nghi Sơn, Thanh Hóa","Phường Tĩnh Hải, Thị xã Nghi Sơn, Tỉnh Thanh Hóa","16642","407","False"
"60eaaa721173335842c360fe","Tịnh Hiệp","xa","tinh-hiep","Xã Tịnh Hiệp","Tịnh Hiệp, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Hiệp, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21184","527","False"
"60eaaa721173335842c360c9","Tịnh Hòa","xa","tinh-hoa","Xã Tịnh Hòa","Tịnh Hòa, Quảng Ngãi, Quảng Ngãi","Xã Tịnh Hòa, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi","21187","522","False"
"60eaaa721173335842c360ce","Tịnh Khê","xa","tinh-khe","Xã Tịnh Khê","Tịnh Khê, Quảng Ngãi, Quảng Ngãi","Xã Tịnh Khê, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi","21211","522","False"
"60eaaa721173335842c360ca","Tịnh Kỳ","xa","tinh-ky","Xã Tịnh Kỳ","Tịnh Kỳ, Quảng Ngãi, Quảng Ngãi","Xã Tịnh Kỳ, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi","21190","522","False"
"60eaaa721173335842c360cf","Tịnh Long","xa","tinh-long","Xã Tịnh Long","Tịnh Long, Quảng Ngãi, Quảng Ngãi","Xã Tịnh Long, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi","21214","522","False"
"60eaaa721173335842c36105","Tịnh Minh","xa","tinh-minh","Xã Tịnh Minh","Tịnh Minh, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Minh, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21229","527","False"
"60eaaa6e1173335842c34fb7","Tinh Nhuệ","xa","tinh-nhue","Xã Tinh Nhuệ","Tinh Nhuệ, Thanh Sơn, Phú Thọ","Xã Tinh Nhuệ, Huyện Thanh Sơn, Tỉnh Phú Thọ","08659","238","False"
"60eaaa721173335842c360fd","Tịnh Phong","xa","tinh-phong","Xã Tịnh Phong","Tịnh Phong, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Phong, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21181","527","False"
"60eaaa721173335842c36102","Tịnh Sơn","xa","tinh-son","Xã Tịnh Sơn","Tịnh Sơn, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Sơn, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21217","527","False"
"60eaaa721173335842c360cb","Tịnh Thiện","xa","tinh-thien","Xã Tịnh Thiện","Tịnh Thiện, Quảng Ngãi, Quảng Ngãi","Xã Tịnh Thiện, Thành phố Quảng Ngãi, Tỉnh Quảng Ngãi","21199","522","False"
"60eaaa721173335842c360fb","Tịnh Thọ","xa","tinh-tho","Xã Tịnh Thọ","Tịnh Thọ, Sơn Tịnh, Quảng Ngãi","Xã Tịnh Thọ, Huyện Sơn Tịnh, Tỉnh Quảng Ngãi","21175","527","False"
"60eaaa721173335842c36cd3","Tịnh Thới","xa","tinh-thoi","Xã Tịnh Thới","Tịnh Thới, Cao Lãnh, Đồng Tháp","Xã Tịnh Thới, Thành phố Cao Lãnh, Tỉnh Đồng Tháp","29899","866","False"
